Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-725,Phần mềm Illustrator CC for teams  ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal - 12 Months (65270548BA14A12),Phần mềm, Phần mềm văn phòng ,  4.720.000 ,Phần mềm văn phòng
P-726,Phần mềm Acrobat Pro DC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal- 12 Months (65233373BA14A12),Phần mềm, Khác ,  2.190.000 ,Phần mềm văn phòng
P-727,Phần mềm 3ds Max Commercial Maintenance Plan (1 year) (Renewal),Phần mềm, Phần mềm server ,  6.460.000 ,Khác
P-728,Phần mềm Foxit PhantomPDF Business,Phần mềm, Phần mềm server ,  2.000.000 ,Phần mềm văn phòng
P-729,Phần mềm Acrobat Pro 2017 Multiple Platforms International English AOO License,Phần mềm, Khác ,  6.590.000 ,Phần mềm văn phòng
P-730,Máy in Kim Epson LQ-310,Phụ kiện,Phụ kiện,  3.090.000 ,Phụ kiện
P-731,Máy in Laser đen trắng Canon LBP 3300(FT) (CANON-LBP3300),Phụ kiện,Phụ kiện,  2.770.000 ,Phụ kiện
P-732,Thiết bị phát sóng Wifi Cisco Aironet AIR-SAP2602E-E-K9,Phụ kiện,Phụ kiện,  10.540.000 ,Phụ kiện
P-733,Bộ bàn phím chuột Logitech MK200,Phụ kiện,Phụ kiện,  290.000 ,Phụ kiện
P-734,Dịch vụ phần mềm Production Support/Subscription VMWare vRealize Operrations 6 Standard (25 VM Pack) for 1 year_VR6-OSTD25-P-SSS-C,Phần mềm, Phần mềm văn phòng ,  9.100.000 ,Phần mềm server
P-735,Phần mềm Production Support Coverage VMware vSphere 6 Enterprise Plus for 1 processor,Phần mềm, Phần mềm server ,  11.000.000 ,Phần mềm server
P-736,Phần mềm ESET Secure Business,Phần mềm, Phần mềm Bảo mật ,  230.000 ,Phần mềm văn phòng
P-737,Phần mềm ESET Mail Security for Microsoft Exchange Server ( Buy new - 1 year ),Phần mềm, Khác ,  160.000 ,Phần mềm văn phòng
P-738,Phần mềm Basic Support/Subscription VMwave vSphere 6 Enterprise for 1 processor for 1 year ( 01 month),Phần mềm, Phần cứng ,  7.870.000 ,Phần mềm server
P-739,Phần mềm Production Support/Subscription for vCenter Server 6 Standard for vSphere 6 for 1 Year,Phần mềm, Phần cứng ,  8.990.000 ,Phần mềm server
P-740,Phần mềm VMware vCloud Suite 7 Standard,Phần mềm, Phần cứng ,  57.280.000 ,Phần mềm server
P-741,Dịch vụ phần mềm Production Support/Subscripton VMware vCloud Suite 7 Standard for 1 year,Phần mềm, Phần cứng ,  15.720.000 ,Phần mềm server
P-742,Phần mềm quản trị máy chủ,Phần mềm, Phần cứng ,  430.000 ,Khác
P-743,Bộ nhớ trong Kingston 2GB R3-1600U11,Phụ kiện,Phụ kiện,  180.000 ,Phụ kiện
P-744,Phần mềm Think-cell,Phần mềm, Khác ,  3.570.000 ,Phần mềm server
P-745,Sửa máy chấm công,Phụ kiện,Phụ kiện,  740.000 ,Phụ kiện
P-746,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER RENEWAL ESSENTIAL 12 MONTHS ACAD BAND A,Phần mềm, Phần mềm server ,  100.000 ,Phần mềm Bảo mật
P-747,Ổ cứng SSD Kingston SA400S37/240G,Phụ kiện,Phụ kiện,  1.270.000 ,Phụ kiện
P-748,Phần mềm Production Support/Subscription VMware vSphere 6 with Operations Management Enterprise Plus for 3 years,Phần mềm, Phần mềm server ,  27.970.000 ,Phần mềm server
P-749,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND D ESSENTIAL 36 MONTHS,Phần mềm, Phần mềm server ,  1.050.000 ,Phần mềm Bảo mật
P-750,Phần mềm SYMC ENDPOINT PROTECTION 14 PER USER BNDL STD LIC EXPRESS BAND D ESSENTIAL 12 MONTHS,Phần mềm, Khác ,  390.000 ,Phần mềm Bảo mật
P-751,Đầu nối dây cáp mạng máy vi tính (P/N: 6-2111989-3),Phụ kiện,Phụ kiện,  20.000 ,Phụ kiện
P-752,"phần mềm 24/7 maintenance uplift, Veeam Availability Suite Enterprise for VMware – ONE year",Phần mềm, Phần mềm văn phòng ,  1.800.000 ,Phần mềm server
P-753,"Phần mềm Endpoint Protection, Renewal Software Maintenance, 50-99 Devices 1 YR",Phần mềm, Phần cứng ,  300.000 ,Phần mềm Bảo mật
P-754,"Phần mềm Endpoint Protection, License, 1-24 Devices",Phần mềm, Phần mềm văn phòng ,  290.000 ,Phần mềm Bảo mật
P-755,"Phần mềm Endpoint Protection, Initial Software Maintenance, 1-24 Devices 1 YR",Phần mềm, Phần mềm server ,  410.000 ,Phần mềm Bảo mật
P-756,"Bộ lưu điện công suất 3000VA, điện áp 230V_SRT3000XLI",Phụ kiện,Phụ kiện,  17.790.000 ,Phụ kiện
P-757,"Ổ cứng Western SSD 240GB sata3, màu xanh-Green(WDS240G1G0A)",Phụ kiện,Phụ kiện,  480.000 ,Phụ kiện
P-758,"Máy tính để bàn HP Pavilion 570-p078l / Intel Core i7-7700 (3.6GHz, 8MB)/ 16GB RAM DDR4/ 1TB HDD/ DVDRW/ NVidia GT730 2GB G5 Graphics/ Wlan bgn+BT/ USB Mouse & Key/ FreeDos/ 1Y WTY",Máy tính, Phần cứng ,  11.600.000 ,Máy tính
P-759,Dây tín hiệu VGA LCD 3m YC504,Phụ kiện,Phụ kiện,  60.000 ,Phụ kiện
P-760,Phần mềm ExchgStdCAL 2016 SNGL OLP NL DvcCAL,Phần mềm, Phần mềm văn phòng ,  870.000 ,Phần mềm văn phòng
P-761,Phần mềm Foxit PhantomPDF Standard 7,Phần mềm, Phần mềm server ,  1.300.000 ,Phần mềm văn phòng
P-762,Phần mềm SQLCAL 2014 SNGL OLP NL DvcCAL (359-06096),Phần mềm, Phần mềm văn phòng ,  2.440.000 ,Phần mềm server
P-763,Phần mềm Microsoft ExchgStdCAL 2013 SNGL OLP NL UsrCAL_381-04315,Phần mềm, Phần mềm văn phòng ,  950.000 ,Phần mềm văn phòng
P-764,Phần mềm Win HmBasic 7 SP1 x32 English SEA 1pk DSP OEI (F2C-01534),Phần mềm, Phần mềm văn phòng ,  1.250.000 ,Khác
P-765,ESET ENDPOINT Antivirus (EPAV-U9),Phụ kiện,Phụ kiện,  230.000 ,Phụ kiện
P-766,Phần mềm Trend Micro Enterprise Security for Endpoint-Standard,Phần mềm, Phần cứng ,  540.000 ,Phần mềm Bảo mật
P-767,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL STD LIC EXPRESS BAND B ESSENTIAL 12 MONTHS (0E7IOZF0-EI1EB),Phần mềm, Phần cứng ,  550.000 ,Phần mềm Bảo mật
P-768,Phần mềm OfficeProPlus 2016 SNGL OLP NL Acdmc,Phần mềm, Khác ,  950.000 ,Phần mềm văn phòng
P-769,Phần mềm Eset Antivirus ( renew - 01 year),Phần mềm, Phần cứng ,  230.000 ,Phần mềm Bảo mật
P-770,Phần mềm Update From AddOn Channel 10 to 11,Phần mềm, Phần cứng ,  5.170.000 ,Khác
P-771,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER BNDL COMP UG LIC ACAD BAND A ESSENTIAL 12 MONTHS,Phần mềm, Khác ,  80.000 ,Phần mềm Bảo mật
P-772,MFE Complete Data Prtxn P:1Gold [P+],Phụ kiện,Phụ kiện,  1.280.000 ,Phụ kiện
P-773,Phần mềm USB Flash Security #,Phần mềm, Phần mềm văn phòng ,  550.000 ,Phần mềm Bảo mật
P-774,Phần mềm Kaspersky Enpoint Security for Business - Select (New),Phần mềm, Phần mềm server ,  530.000 ,Phần mềm văn phòng
P-775,Phần mềm Bitdefender GravityZone Business Security (Renewal),Phần mềm, Phần mềm văn phòng ,  150.000 ,Phần mềm văn phòng
P-776,"Kaspersky Security for Virtualization, Core (PL)",Phụ kiện,Phụ kiện,  1.790.000 ,Phụ kiện
P-777,Phần mềm O365ProPlusOpen ShrdSvr SNGL SubsVL OLP NL Annual Qlfd,Phần mềm, Phần mềm server ,  1.700.000 ,Phần mềm văn phòng
P-778,Dịch vụ gia hạn phần mềm Trend Micro Enterprise Security for Endpoints - Standard,Phần mềm, Phần mềm server ,  600.000 ,Phần mềm Bảo mật
P-779,Phần mềm ESET Endpoint Protection Advanced 2001-RN-1Y,Phần mềm, Phần mềm Bảo mật ,  350.000 ,Phần mềm Bảo mật
P-780,Phần mềm Upgrade - KeyShot 7 HD to Enterprise,Phần mềm, Phần cứng ,  40.380.000 ,Khác
P-781,Máy tính để bàn Dell Vostro 3268ST_9C32X11,Máy tính, Phần cứng ,  4.280.000 ,Máy tính
P-782,Phần mềm Photoshop CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New 12 months,Phần mềm, Phần mềm server ,  5.090.000 ,Phần mềm văn phòng
P-783,Phần mềm IntelliJ IDEA Ultimate Commercial annual subscription (1 Year),Phần mềm, Phần cứng ,  7.630.000 ,Phần cứng
P-784,Phần mềm G Suite Basic 1 Year,Phần mềm, Phần mềm Bảo mật ,  320.000 ,Khác
P-785,"Phần mềm Endpoint Protection, Initial Subscription License with Support, 25-49 Devices 1 YR",Phần mềm, Khác ,  480.000 ,Phần mềm Bảo mật
P-786,Phần mềm 3ds Max Commercial Single-user Annual Subscription Renewal (1 Year),Phần mềm, Phần mềm văn phòng ,  14.500.000 ,Khác
P-787,Phần mềm AutoCAD LT 2019 Commercial New Single-user ELD Annual Subscription (057K1-WW8695-T548),Phần mềm, Phần cứng ,  3.860.000 ,Phần mềm văn phòng
P-788,Phần mềm AutoCAD LT Commercial Single-user Annual Subscription Renewal ( 057I1-009704-T385),Phần mềm, Phần mềm server ,  4.190.000 ,Phần mềm văn phòng
P-789,Phí Kỹ Thuật,Phụ kiện,Phụ kiện,  1.740.000 ,Phụ kiện
P-790,Phần mềm Microsoft Office 365 Personal English 1YR P4 (QQ2-00807),Phần mềm, Phần cứng ,  660.000 ,Phần mềm văn phòng
P-791,Phần mềm hỗ trợ download,Phần mềm, Phần cứng ,  360.000 ,Phần cứng
P-792,"Phần mềm Endpoint Protection, Renewal Software Maintenance, 100-249 Devices 1 YR",Phần mềm, Phần cứng ,  250.000 ,Phần mềm Bảo mật
P-793,Phần mềm Illustrator CC for teams ALL Multiple Platforms Multi Asian Languages  Team Licensing Subscription New- 12 months (65297605BA01A12),Phần mềm, Phần cứng ,  6.260.000 ,Phần mềm văn phòng
P-794,Phần mềm Microsoft Office 365 Home English 1 YR P4(6GQ-00968),Phần mềm, Phần mềm văn phòng ,  910.000 ,Phần mềm văn phòng
P-795,"Giấy chứng nhận dịch vụ bảo hành phần mềm Citrix: Renew for Citrix Virtual Apps Advanced Edition S/N: LA-0002090929-96024, Service Level: Select, New Service Start Date: 01/04/2019, New Service End Date: 31/03/2020 ",Phần mềm, Phần mềm văn phòng ,  5.250.000 ,Phần cứng
P-796,"Giấy chứng nhận dịch vụ bảo hành phần mềm Citrix: Renew for Citrix Virtual Apps Advanced Edition S/N: LA-0002418634-66011, Service Level: Select, New Service Start Date: 22/03/2019, New Service End Date: 31/03/2020",Phần mềm, Phần cứng ,  4.890.000 ,Phần cứng
P-797,"Giấy chứng nhận dịch vụ bảo hành phần mềm Citrix: Renew for Citrix Virtual Apps Advanced Edition S/N: LA-0002421281-14662, Service Level: Select, New Service Start Date: 20/06/2019, New Service End Date: 31/03/2020",Phần mềm, Khác ,  4.550.000 ,Phần cứng
P-798,Phần mềm Microsoft Office Home and Business 2019 English APAC EM Medialess (T5D-03249),Phần mềm, Khác ,  3.120.000 ,Phần mềm văn phòng
P-799,Phần mềm Trend Micro Internet Security,Phần mềm, Phần cứng ,  70.000 ,Phần mềm Bảo mật
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Phần cứng,,
,,,Khác,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Khác,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần mềm server,,
,,,Khác,,
,,,Khác,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Khác,,
,,,Khác,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Khác,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần mềm server,,
,,,Khác,,
,,,Khác,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Khác,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần mềm server,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Phần mềm server,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần cứng,,
,,,Phần mềm server,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm server,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần cứng,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Khác,,
,,,Phần mềm Bảo mật,,
,,,Khác,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần mềm Bảo mật,,
,,,Phần mềm văn phòng,,
,,,Phần mềm văn phòng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần cứng,,
,,,Phần mềm văn phòng,,
,,,Phần mềm Bảo mật,,
